date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:11	8148/8148	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:12%20GMT	http://www.pm-shipping.com/logistics/news.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/logistics/news.html	(from http://www.pm-shipping.com/)
11:51:12	14063/14063	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:12%20GMT	http://www.pm-shipping.com/news.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/news.html	(from http://www.pm-shipping.com/)
11:51:13	85754/85754	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:12%20GMT	http://www.pm-shipping.com/picture-galleries/current-projects.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/picture-galleries/current-projects.html	(from http://www.pm-shipping.com/)
11:51:13	8585/8585	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:13%20GMT	http://www.pm-shipping.com/news/events.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/news/events.html	(from http://www.pm-shipping.com/)
11:51:13	8094/8094	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:13%20GMT	http://www.pm-shipping.com/logistics/info-documents-gtc.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/logistics/info-documents-gtc.html	(from http://www.pm-shipping.com/)
11:51:14	11544/11544	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:14%20GMT	http://www.pm-shipping.com/downloads/company-brochures.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/downloads/company-brochures.html	(from http://www.pm-shipping.com/)
11:51:14	11630/11630	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:14%20GMT	http://www.pm-shipping.com/downloads/information.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/downloads/information.html	(from http://www.pm-shipping.com/)
11:51:14	8410/8410	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:14%20GMT	http://www.pm-shipping.com/contact.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/contact.html	(from http://www.pm-shipping.com/)
11:51:15	10970/10970	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Jun%202017%2018:51:15%20GMT	http://www.pm-shipping.com/profiles/locations.html	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/profiles/locations.html	(from http://www.pm-shipping.com/)
11:51:16	976/976	---M--	200	added ('OK')	image/png	etag:%223d0-4e58c358603c0%22	http://www.pm-shipping.com/gfx/icon_1.png	C:/My%20Web%20Sites/http___www.pm-shipping.com_/www.pm-shipping.com/gfx/icon_1.png	(from http://www.pm-shipping.com/)
